first_name,last_name,date_of_birth,school_name,teacher_name,competitor_number,competition_code,competition_name,age_group,level,dance_type
Declan,Kavanagh,2010-01-09,Harney Academy,Bridget Harney,417,22,Novice Under 14 Hornpipe,Under 14,Novice,hornpipe
Aoibhin,Carroll,2008-02-11,Scoil Rince Ni Bhriain,Colm Murphy,110,23,Prizewinner 14 & Over Reel,14 & Over,Prizewinner,reel
Aoibhin,Carroll,2008-02-11,Scoil Rince Ni Bhriain,Colm Murphy,110,24,Prizewinner 14 & Over Light Jig,14 & Over,Prizewinner,jig
Aoibhin,Carroll,2008-02-11,Scoil Rince Ni Bhriain,Colm Murphy,110,25,Prizewinner 14 & Over Slip Jig,14 & Over,Prizewinner,slip_jig
Aoibhin,Carroll,2008-02-11,Scoil Rince Ni Bhriain,Colm Murphy,110,26,Prizewinner 14 & Over Hornpipe,14 & Over,Prizewinner,hornpipe
Aoibhin,Carroll,2008-02-11,Scoil Rince Ni Bhriain,Colm Murphy,110,27,Prizewinner 14 & Over Heavy Jig,14 & Over,Prizewinner,treble_jig
Róisín,Whelan,2007-09-19,McGrath Academy,Fiona McGrath,207,23,Prizewinner 14 & Over Reel,14 & Over,Prizewinner,reel
Róisín,Whelan,2007-09-19,McGrath Academy,Fiona McGrath,207,24,Prizewinner 14 & Over Light Jig,14 & Over,Prizewinner,jig
Róisín,Whelan,2007-09-19,McGrath Academy,Fiona McGrath,207,25,Prizewinner 14 & Over Slip Jig,14 & Over,Prizewinner,slip_jig
Róisín,Whelan,2007-09-19,McGrath Academy,Fiona McGrath,207,26,Prizewinner 14 & Over Hornpipe,14 & Over,Prizewinner,hornpipe
Róisín,Whelan,2007-09-19,McGrath Academy,Fiona McGrath,207,27,Prizewinner 14 & Over Heavy Jig,14 & Over,Prizewinner,treble_jig
Naoise,Sweeney,2007-06-15,Scoil Rince Ni Bhriain,Colm Murphy,111,23,Prizewinner 14 & Over Reel,14 & Over,Prizewinner,reel
Naoise,Sweeney,2007-06-15,Scoil Rince Ni Bhriain,Colm Murphy,111,24,Prizewinner 14 & Over Light Jig,14 & Over,Prizewinner,jig
Naoise,Sweeney,2007-06-15,Scoil Rince Ni Bhriain,Colm Murphy,111,25,Prizewinner 14 & Over Slip Jig,14 & Over,Prizewinner,slip_jig
Naoise,Sweeney,2007-06-15,Scoil Rince Ni Bhriain,Colm Murphy,111,27,Prizewinner 14 & Over Heavy Jig,14 & Over,Prizewinner,treble_jig
Eabha,Griffin,2008-12-30,Claddagh School,Sean Claddagh,308,23,Prizewinner 14 & Over Reel,14 & Over,Prizewinner,reel
Eabha,Griffin,2008-12-30,Claddagh School,Sean Claddagh,308,25,Prizewinner 14 & Over Slip Jig,14 & Over,Prizewinner,slip_jig
Eabha,Griffin,2008-12-30,Claddagh School,Sean Claddagh,308,26,Prizewinner 14 & Over Hornpipe,14 & Over,Prizewinner,hornpipe
Ciannait,Flynn,2007-04-08,Harney Academy,Bridget Harney,407,23,Prizewinner 14 & Over Reel,14 & Over,Prizewinner,reel
Ciannait,Flynn,2007-04-08,Harney Academy,Bridget Harney,407,24,Prizewinner 14 & Over Light Jig,14 & Over,Prizewinner,jig
Ciannait,Flynn,2007-04-08,Harney Academy,Bridget Harney,407,26,Prizewinner 14 & Over Hornpipe,14 & Over,Prizewinner,hornpipe
Ciannait,Flynn,2007-04-08,Harney Academy,Bridget Harney,407,27,Prizewinner 14 & Over Heavy Jig,14 & Over,Prizewinner,treble_jig
Oisin,Ryan,2008-01-18,Harney Academy,Bridget Harney,410,23,Prizewinner 14 & Over Reel,14 & Over,Prizewinner,reel
Oisin,Ryan,2008-01-18,Harney Academy,Bridget Harney,410,24,Prizewinner 14 & Over Light Jig,14 & Over,Prizewinner,jig
Oisin,Ryan,2008-01-18,Harney Academy,Bridget Harney,410,26,Prizewinner 14 & Over Hornpipe,14 & Over,Prizewinner,hornpipe
Oisin,Ryan,2008-01-18,Harney Academy,Bridget Harney,410,27,Prizewinner 14 & Over Heavy Jig,14 & Over,Prizewinner,treble_jig
Emma,Tierney,2008-03-27,Scoil Rince Ni Bhriain,Colm Murphy,119,23,Prizewinner 14 & Over Reel,14 & Over,Prizewinner,reel
Emma,Tierney,2008-03-27,Scoil Rince Ni Bhriain,Colm Murphy,119,24,Prizewinner 14 & Over Light Jig,14 & Over,Prizewinner,jig
Emma,Tierney,2008-03-27,Scoil Rince Ni Bhriain,Colm Murphy,119,25,Prizewinner 14 & Over Slip Jig,14 & Over,Prizewinner,slip_jig
Emma,Tierney,2008-03-27,Scoil Rince Ni Bhriain,Colm Murphy,119,26,Prizewinner 14 & Over Hornpipe,14 & Over,Prizewinner,hornpipe
Roisin,McCarthy,2009-07-15,McGrath Academy,Fiona McGrath,216,23,Prizewinner 14 & Over Reel,14 & Over,Prizewinner,reel
Roisin,McCarthy,2009-07-15,McGrath Academy,Fiona McGrath,216,24,Prizewinner 14 & Over Light Jig,14 & Over,Prizewinner,jig
Roisin,McCarthy,2009-07-15,McGrath Academy,Fiona McGrath,216,25,Prizewinner 14 & Over Slip Jig,14 & Over,Prizewinner,slip_jig
Niamh,Moore,2009-04-22,Claddagh School,Sean Claddagh,315,23,Prizewinner 14 & Over Reel,14 & Over,Prizewinner,reel
Niamh,Moore,2009-04-22,Claddagh School,Sean Claddagh,315,24,Prizewinner 14 & Over Light Jig,14 & Over,Prizewinner,jig
Niamh,Moore,2009-04-22,Claddagh School,Sean Claddagh,315,25,Prizewinner 14 & Over Slip Jig,14 & Over,Prizewinner,slip_jig
Niamh,Moore,2009-04-22,Claddagh School,Sean Claddagh,315,26,Prizewinner 14 & Over Hornpipe,14 & Over,Prizewinner,hornpipe
Niall,Connolly,2008-11-07,McGrath Academy,Fiona McGrath,217,23,Prizewinner 14 & Over Reel,14 & Over,Prizewinner,reel
Niall,Connolly,2008-11-07,McGrath Academy,Fiona McGrath,217,24,Prizewinner 14 & Over Light Jig,14 & Over,Prizewinner,jig
Niall,Connolly,2008-11-07,McGrath Academy,Fiona McGrath,217,26,Prizewinner 14 & Over Hornpipe,14 & Over,Prizewinner,hornpipe
Niall,Connolly,2008-11-07,McGrath Academy,Fiona McGrath,217,27,Prizewinner 14 & Over Heavy Jig,14 & Over,Prizewinner,treble_jig
Cathal,Murphy,2008-06-09,Harney Academy,Bridget Harney,419,23,Prizewinner 14 & Over Reel,14 & Over,Prizewinner,reel
Cathal,Murphy,2008-06-09,Harney Academy,Bridget Harney,419,24,Prizewinner 14 & Over Light Jig,14 & Over,Prizewinner,jig
Cathal,Murphy,2008-06-09,Harney Academy,Bridget Harney,419,26,Prizewinner 14 & Over Hornpipe,14 & Over,Prizewinner,hornpipe
Cathal,Murphy,2008-06-09,Harney Academy,Bridget Harney,419,27,Prizewinner 14 & Over Heavy Jig,14 & Over,Prizewinner,treble_jig
